Time	Energy
0	0	0
30	96919.00999999998	11
60	229570.25999999983	37
90	367846.8599999994	48
120	511676.8999999992	71
150	668273.1699999993	85
180	811834.8699999991	97
210	968713.5399999998	127
240	1109692.6199999999	137
270	1255100.7100000004	150
300	1406620.1700000004	164
330	1537600.3200000017	177
359	1664681.3000000021	186
