T	Packet per tau	Transmissions per tau
0	66	3
1	78	4
2	78	4
3	78	4
4	86	5
5	86	5
6	86	5
7	86	5
8	86	5
9	86	5
10	86	5
11	86	5
12	129	11
13	129	11
14	129	11
15	133	12
16	133	12
17	133	12
18	133	12
19	133	12
20	133	12
21	133	12
22	213	16
23	217	17
24	221	17
25	262	19
26	275	20
27	299	22
28	315	23
29	315	23
30	315	23
31	315	23
32	315	23
33	315	23
34	315	23
35	315	23
36	315	23
37	315	23
38	393	27
39	393	27
40	413	28
41	473	31
42	481	32
43	489	33
44	489	33
45	489	33
46	489	33
47	489	33
48	489	33
49	489	33
50	523	38
51	531	39
52	544	40
53	564	41
54	576	41
55	596	42
56	596	42
57	596	42
58	604	43
59	604	43
60	604	43
61	604	43
62	604	43
63	604	43
64	604	43
65	604	43
66	604	43
67	604	43
68	604	43
69	604	43
70	691	48
71	691	48
72	691	48
73	691	48
74	704	48
75	728	49
76	728	49
77	768	50
78	772	52
79	772	52
80	780	53
81	780	53
82	788	54
83	788	54
84	788	54
85	828	57
86	834	57
87	886	59
88	898	60
89	898	60
90	898	60
91	898	60
92	899	61
93	931	62
94	931	62
95	931	62
96	931	62
97	931	62
98	931	62
99	963	65
100	983	67
101	991	68
102	1019	69
103	1019	69
104	1096	71
105	1152	73
106	1152	73
107	1174	75
108	1174	75
109	1182	76
110	1190	77
111	1190	77
112	1190	77
113	1202	78
114	1202	78
115	1202	78
116	1230	79
117	1238	80
118	1326	86
119	1330	87
120	1330	87
121	1346	89
122	1346	89
123	1346	89
124	1351	89
125	1359	90
126	1359	90
127	1359	90
128	1380	91
129	1380	91
130	1426	92
131	1426	92
132	1426	92
133	1426	92
134	1426	92
135	1426	92
136	1426	92
137	1464	95
138	1464	95
139	1464	95
140	1464	95
141	1464	95
142	1464	95
143	1464	95
144	1464	95
145	1464	95
146	1464	95
147	1464	95
148	1464	95
149	1464	95
150	1527	97
151	1527	97
152	1544	98
153	1544	98
154	1544	98
155	1544	98
156	1544	98
157	1544	98
158	1544	98
159	1548	99
160	1548	99
161	1548	99
162	1548	99
163	1548	99
164	1548	99
165	1551	99
166	1615	100
167	1615	100
168	1615	100
169	1615	100
170	1615	100
171	1615	100
172	1615	100
173	1615	100
174	1619	101
175	1627	103
176	1627	103
177	1627	103
178	1627	103
179	1627	103
