ID	s	d	ts	te	LLC	size	parent	parentTime	replica
21	0	8	33	33	0	1200	4	0	4	0
89	2	7	124	128	4	120	3	0	0	0
80	2	6	108	115	7	120	3	0	0	0
82	2	6	108	115	7	2400	16	0	0	8
7	1	7	17	25	8	120	3	0	0	0
23	2	7	33	41	8	120	4	0	0	0
70	2	7	96	105	9	120	5	0	0	0
72	2	8	96	105	9	120	3	0	0	0
13	2	7	33	43	10	1200	12	0	0	0
16	1	7	33	43	10	2400	24	0	0	0
25	1	7	33	43	10	2400	24	0	0	0
26	2	7	33	43	10	2400	24	0	0	0
27	1	7	33	43	10	2400	24	0	0	0
34	2	6	44	54	10	120	3	0	0	0
81	2	7	108	118	10	1200	12	0	8	0
92	2	7	124	135	11	3600	24	0	12	0
31	1	7	44	56	12	1200	12	0	4	0
103	4	8	137	150	13	120	3	0	0	0
105	4	8	137	150	13	120	3	0	0	0
17	2	7	33	47	14	3600	24	0	12	0
74	1	7	96	110	14	2400	16	0	8	0
75	2	7	96	110	14	3600	24	0	24	0
37	2	7	44	59	15	2400	24	0	0	0
51	4	8	63	78	15	120	4	0	0	0
101	4	6	137	152	15	120	3	0	0	0
104	4	6	137	152	15	3600	36	0	0	0
46	4	6	63	80	17	2400	24	0	8	0
48	4	8	63	80	17	1200	12	0	4	0
2	4	6	0	18	18	120	4	0	0	0
4	4	8	0	18	18	120	4	0	0	0
66	2	6	83	104	21	120	3	0	0	0
57	1	7	83	105	22	120	4	0	0	0
60	2	8	83	105	22	3600	24	0	12	0
64	2	7	83	107	24	1200	12	0	8	0
86	4	8	124	150	26	120	3	0	0	0
87	4	8	124	150	26	1200	12	0	0	0
93	4	8	124	150	26	120	3	0	0	0
1	1	7	0	28	28	1200	8	0	8	0
85	4	6	124	152	28	1200	12	0	0	0
90	4	6	124	152	28	3600	36	0	0	0
91	4	6	124	152	28	1200	12	0	0	0
39	4	8	44	78	34	120	4	0	0	0
36	4	6	44	80	36	1200	12	0	4	0
97	2	8	137	173	36	120	3	0	0	0
102	1	8	137	173	36	120	3	0	0	0
106	2	8	137	173	36	120	3	0	0	0
99	2	6	137	174	37	3600	24	0	12	0
38	4	8	44	82	38	2400	24	0	0	0
98	2	8	137	175	38	1200	8	0	4	0
100	1	7	137	175	38	1200	12	0	4	0
41	2	6	63	104	41	120	3	0	0	0
47	1	6	63	104	41	120	3	0	0	0
49	2	6	63	104	41	1200	12	0	0	0
50	0	5	63	104	41	3600	12	0	12	12
54	0	5	63	104	41	120	2	0	0	0
94	2	5	124	165	41	1200	12	0	8	0
40	2	7	63	105	42	120	5	0	0	0
42	1	7	63	105	42	120	5	0	0	0
44	1	8	63	105	42	120	3	0	0	0
52	1	8	63	105	42	120	3	0	0	0
78	4	8	108	150	42	120	3	0	0	0
15	4	8	33	80	47	1200	12	0	4	0
18	4	6	33	80	47	2400	24	0	8	0
20	4	6	33	80	47	2400	24	0	8	0
24	4	8	33	80	47	1200	12	0	4	0
88	1	7	124	175	51	120	4	0	0	0
95	1	8	124	175	51	1200	8	0	0	0
96	1	7	124	175	51	120	4	0	0	0
68	4	8	96	150	54	1200	12	0	0	0
73	4	8	96	150	54	2400	24	0	0	0
69	4	6	96	152	56	3600	36	0	0	0
76	4	6	96	152	56	120	3	0	0	0
9	2	5	17	74	57	120	4	0	0	0
10	1	5	17	74	57	1200	12	0	4	0
12	2	5	17	74	57	120	4	0	0	0
77	2	5	108	165	57	120	5	0	0	0
79	3	5	108	165	57	1200	8	0	4	0
84	1	5	108	165	57	1200	12	0	4	0
11	3	5	17	75	58	3600	0	0	36	12
83	3	5	108	166	58	2400	8	0	16	0
28	2	5	44	104	60	3600	36	0	0	0
30	1	5	44	104	60	120	4	0	0	0
32	3	5	44	104	60	120	4	0	0	0
35	0	5	44	104	60	1200	16	0	0	0
8	4	8	17	78	61	120	4	0	0	0
61	4	8	83	150	67	1200	12	0	0	0
63	4	8	83	150	67	2400	24	0	0	0
71	1	5	96	165	69	1200	20	0	0	0
19	1	5	33	104	71	2400	32	0	8	0
22	2	5	33	104	71	1200	16	0	4	0
0	0	5	0	74	74	120	3	0	0	0
3	2	5	0	74	74	1200	12	0	4	0
55	2	5	83	165	82	120	7	0	0	0
62	0	5	83	165	82	1200	12	0	4	0
65	0	5	83	165	82	1200	12	0	4	0
67	1	5	83	165	82	1200	20	0	0	0
56	2	5	83	166	83	2400	24	0	24	0
58	3	5	83	166	83	2400	16	0	8	8
59	0	5	83	166	83	2400	16	0	16	0
43	2	5	63	165	102	120	7	0	0	0
45	2	5	63	165	102	120	7	0	0	0
53	2	5	63	165	102	1200	24	0	0	0
29	4	5	44	165	121	120	4	0	0	0
33	4	5	44	165	121	1200	16	0	0	0
14	4	5	33	165	132	1200	16	0	0	0
6	4	5	17	165	148	1200	16	0	0	0
5	4	5	17	166	149	2400	24	0	8	0
