T	Packet per tau	Transmissions per tau
0	1	1
1	1	1
2	1	1
3	1	1
4	1	1
5	1	1
6	1	1
7	1	1
8	1	1
9	1	1
10	1	1
11	1	1
12	1	1
13	1	1
14	1	1
15	1	1
16	1	1
17	1	1
18	1	1
19	1	1
20	1	1
21	1	1
22	1	1
23	1	1
24	13	2
25	13	2
26	13	2
27	28	3
28	28	3
29	28	3
30	40	4
31	40	4
32	40	4
33	40	4
34	40	4
35	40	4
36	40	4
37	40	4
38	52	5
39	52	5
40	52	5
41	52	5
42	80	6
43	80	6
44	99	8
45	103	9
46	108	10
47	145	11
48	204	12
49	212	13
50	212	13
51	212	13
52	221	13
53	221	13
54	221	13
55	229	14
56	229	14
57	229	14
58	229	14
59	229	14
60	229	14
61	229	14
62	229	14
63	254	16
64	254	16
65	262	17
66	262	17
67	262	17
68	262	17
69	311	18
70	325	19
71	329	19
72	331	21
73	363	21
74	367	22
75	367	22
76	367	22
77	383	25
78	383	25
79	383	25
80	383	25
81	403	25
82	403	25
83	435	28
84	435	28
85	436	28
86	443	30
87	507	32
88	519	33
89	519	33
90	567	34
91	567	34
92	567	34
93	567	34
94	579	35
95	579	35
96	579	35
97	631	36
98	631	36
99	632	37
100	645	38
101	653	40
102	653	40
103	657	40
104	715	42
105	715	42
106	733	43
107	778	43
108	802	45
109	802	45
110	802	45
111	810	46
112	810	46
113	810	46
114	812	46
115	812	46
116	834	46
117	865	49
118	928	52
119	951	53
120	967	55
121	967	55
122	967	55
123	967	55
124	980	55
125	1004	58
126	1012	59
127	1012	59
128	1020	60
129	1020	60
130	1043	61
131	1043	61
132	1043	61
133	1043	61
134	1043	61
135	1043	61
136	1043	61
137	1052	63
138	1052	63
139	1054	63
140	1056	64
141	1058	65
142	1058	65
143	1058	65
144	1101	68
145	1109	70
146	1111	71
147	1127	73
148	1127	73
149	1133	74
150	1135	76
151	1135	76
152	1135	76
153	1135	76
154	1135	76
155	1135	76
156	1135	76
157	1184	77
158	1189	78
159	1198	80
160	1198	80
161	1198	80
162	1198	80
163	1198	80
164	1198	80
165	1202	81
166	1202	81
167	1202	81
168	1202	81
169	1218	82
170	1218	82
171	1218	82
172	1218	82
173	1218	82
174	1218	82
175	1222	83
176	1222	83
177	1222	83
178	1222	83
179	1222	83
