T	Packet per tau	Transmissions per tau
0	4	2
1	6	2
2	10	2
3	12	2
4	20	2
5	24	3
6	26	3
7	28	4
8	28	4
9	28	4
10	30	4
11	36	4
12	44	5
13	54	8
14	62	11
15	81	13
16	89	14
17	97	15
18	101	15
19	103	15
20	105	16
21	109	16
22	113	16
23	117	16
24	121	17
25	123	17
26	125	17
27	131	18
28	137	18
29	139	18
30	149	19
31	161	20
32	169	20
33	181	20
34	191	21
35	197	23
36	199	23
37	202	24
38	204	24
39	206	24
40	209	25
41	214	26
42	217	27
43	221	28
44	223	28
45	230	29
46	235	31
47	238	31
48	242	31
49	254	32
50	262	34
51	266	35
52	270	35
53	276	35
54	278	35
55	280	35
56	282	35
57	286	36
58	292	37
59	298	38
60	300	38
61	302	39
62	306	40
63	310	41
64	314	43
65	314	43
66	328	44
67	338	45
68	344	47
69	352	47
70	361	48
71	369	49
72	373	49
73	377	49
74	382	49
75	394	49
76	404	50
77	416	51
78	425	52
79	433	52
80	440	54
81	446	55
82	458	55
83	470	56
84	480	57
85	486	57
86	494	57
87	500	57
88	506	58
89	510	58
90	516	58
91	519	59
92	523	59
93	527	59
94	531	59
95	535	59
96	539	59
97	547	59
98	549	59
99	551	59
100	553	59
101	557	59
102	573	60
103	577	61
104	583	61
105	589	61
106	595	61
107	601	62
108	605	62
109	609	62
110	625	63
111	629	63
112	633	63
113	637	63
114	642	64
115	646	65
116	650	66
117	652	66
118	655	67
119	657	67
120	661	68
121	671	69
122	681	72
123	683	72
124	685	73
125	687	73
126	689	73
127	689	73
128	693	74
129	697	75
130	703	76
131	709	77
132	715	79
133	717	79
134	719	79
135	721	79
136	723	79
137	725	79
138	725	79
139	725	79
140	725	79
141	725	79
142	725	79
143	725	79
144	729	80
145	729	80
146	729	80
147	731	80
148	733	80
149	733	80
150	735	80
151	737	80
152	739	80
153	741	80
154	743	80
155	747	80
156	751	80
157	755	80
158	757	80
159	762	82
160	764	82
161	765	83
162	765	83
163	765	83
164	765	83
165	767	84
166	771	84
167	775	84
168	779	85
169	779	85
170	779	85
171	781	85
172	783	85
173	783	85
174	785	85
175	787	85
176	789	85
177	791	85
178	791	85
179	791	85
