#t	PDR	Latency	Energy	Overhead	Hops	Band Usage				Packet per tau	Parallel Communications	 Num Transmissions
0	0.0	0	0	1	0	0	0	0	0	0	0	0
30	0.07	1.0	272.0	1	0.0	20.28	0.0	7.74	1.15	1.6	0.3	48
60	0.04	1.0	272.0	1	0.0	14.89	0.0	6.3	0.87	5.8	1.15	348
90	0.03	1.0	272.0	1	0.0	11.39	0.0	4.48	0.68	7.2	1.43	648
120	0.03	1.0	272.0	1	0.0	9.69	0.0	3.91	0.61	7.9	1.57	948
150	0.03	1.0	272.0	1	0.0	9.54	0.0	3.81	0.68	8.32	1.66	1248
180	0.03	1.0	272.0	1	0.0	8.64	0.0	3.46	0.59	8.6	1.72	1548
210	0.03	1.0	272.0	1	0.0	8.37	0.0	3.36	0.59	8.8	1.76	1848
240	0.03	1.0	272.0	1	0.0	8.27	0.0	3.27	0.62	8.91	1.78	2138
